grubosc, palenie, fazowanie, szlifowanie
4,0.05,0.07,0.03
5,0.06,0.08,0.03
6,0.06,0.08,0.03
8,0.06,0.08,0.03
10,0.06,0.08,0.03
12,0.07,0.09,0.04
13,0.07,0.09,0.04
14,0.07,0.09,0.04
15,0.07,0.09,0.04
16,0.07,0.09,0.04
18,0.08,0.1,0.04
20,0.08,0.1,0.04
22,0.08,0.1,0.04
25,0.09,0.11,0.05
26,0.09,0.11,0.05
28,0.1,0.13,0.05
30,0.1,0.13,0.05
32,0.1,0.13,0.05
35,0.11,0.14,0.06
40,0.11,0.14,0.06
45,0.12,0.15,0.06
50,0.13,0.17,0.07
55,0.14,0.18,0.07
60,0.14,0.18,0.07
65,0.15,0.19,0.08
70,0.16,0.2,0.08
75,0.17,0.22,0.09
80,0.17,0.22,0.09
85,0.18,0.23,0.09
90,0.19,0.24,0.1
95,0.2,0.26,0.1
100,0.2,0.26,0.1
110,0.22,0.28,0.11
120,0.23,0.3,0.12
130,0.25,0.32,0.13
140,0.26,0.34,0.13
150,0.28,0.36,0.14
160,0.29,0.38,0.15
180,0.32,0.41,0.16
200,0.35,0.45,0.18
220,0.38,0.49,0.19
240,0.41,0.53,0.21
260,0.44,0.57,0.22
280,0.47,0.61,0.24
300,0.5,0.65,0.25
