Nominal Pipe Size, Outside Diameter, Sch40, Sch60, XS, Sch80, Sch100, Sch120, Sch140, Sch160, XXS, Sch5s, Sch10s, Sch40s, Sch80s, Sch5, Sch10, Sch20, Sch30, STD
1/4, 13.7, 2.24,,3.02,3.02,,,,,,,1.65,2.24,3.02,,1.65,,1.85,2.24
3/8, 17.1,2.31,,3.2,3.2,,,,,,,1.65,2.31,3.2,,1.65,,1.85,2.31
1/2, 21.3,2.77,,3.73,3.73,,,,4.78,7.47,1.65,2.11,2.77,3.73,1.65,2.11,,2.41,2.77
3/4, 26.7,2.87,,3.91,3.91,,,,5.56,7.82,1.65,2.11,2.87,3.91,1.65,2.11,,2.41,2.87
1, 33.43.38,,4.55,4.55,,,,,6.35,9.09,1.65,2.77,3.38,4.55,1.65,2.77,,2.9,3.38
1 1/4, 42.2,3.56,,4.85,,,,,6.35,9.7,1.65,2.77,3.56,4.85,1.65,2.77,,2.97,3.56
1 1/2, 48.3,3.68,,5.08,5.08,,,,7.14,10.15,1.65,2.77,3.68,5.08,1.65,2.77,,3.18,3.68
2, 60.3,3.91,,5.54,5.54,,,,8.74,11.07,1.65,2.77,3.91,5.54,1.65,2.77,,3.18,3.91
2 1/2, 73,5.16,,7.01,7.01,,,,9.53,14.02,2.11,3.05,5.16,7.01,2.11,3.05,,4.78,5.16
3, 88.9,5.49,,7.62,7.62,,,,11.13,15.24,2.11,3.05,5.49,7.62,2.11,3.05,,4.78,5.49
3 1/2, 101.6,5.74,,8.08,8.08,,,,,,2.11,3.05,5.74,8.08,2.11,3.05,,4.78,5.74
4, 114.3,6.02,,8.56,8.08,,,,13.49,17.12,2.11,3.05,6.02,8.56,2.11,3.05,,4.78,6.02
5, 141.3,6.55,,9.53,9.53,,12.7,,15.88,19.05,2.77,3.4,6.55,9.53,2.77,3.4,,,6.55
6, 168.3,7.11,,10.97,10.97,,14.27,,18.26,21.95,2.77,3.4,7.11,10.97,2.77,3.4,,,7.11
8, 219.1,8.18,10.31,12.7,12.7,15.09,18.26,20.62,23.01,22.23,2.77,3.76,8.18,12.7,2.77,3.76,6.35,7.04,8.18
10, 273,9.27,12.7,12.7,1509,18.26,21.44,25.4,28.58,25.4,3.4,4.19,9.27,12.7,3.4,4.19,6.35,7.8,9.27
12, 323.9,10.31,14.27,12.7,17.48,21.44,25.4,28.58,33.32,25.4,3.96,4.57,9.53,12.7,3.96,4.57,6.35,8.38,9.53
14, 355.6,11.13,15.09,12.7,19.055,23.83,27.79,31.75,35.71,,3.96,4.78,9.53,12.7,3.96,6.35,7.92,9.53,9.53
16, 406.4,27.7,16.66,12.7,21.44,26.19,30.96,36.53,40.49,,4.19,4.78,9.53,12.7,4.19,6.35,7.92,9.53,9.53
18, 457.2,14.27,19.05,12.7,23.83,29.36,34.93,39.67,45.24,,4.19,4.78,9.53,12.7,4.19,6.35,7.92,11.13,9.53
20, 508,15.09,20.62,12.7,26.19,32.54,38.1,44.45,50.01,,4.78,5.54,9.53,12.7,4.78,6.35,9.53,12.7,9.53
22, 559,,22.23,12.7,28.58,34.93,41.28,47.63,53.98,,4.78,5.54,9.53,12.7,4.78,6.35,9.53,12.7,9.53
24, 609.6,17.48,24.61,12.7,30.96,38.89,46.02,52.37,59.54,,5.54,6.35,9.53,12.7,5.54,6.35,9.53,14.27,9.53
26, 660.4,,12.7,,,,,,,,,,,,,7.92,12.7,,9.53
28, 711.2,,12.7,,,,,,,,,,,,,7.92,12.7,15.88,9.53
30, 762,,12.7,,,,,,,,6.35,7.92,9.53,12.7,6.35,7.92,12.7,15.88,9.53
32, 813,17.48,,12.7,,,,,,,,,,,,7.92,12.7,15.88,9.53
34, 864,17.48,,12.7,,,,,,,,,,,,7.92,12.7,15.88,9.53
36, 914,19.05,,12.7,,,,,,,,,,,,7.92,12.7,15.88,9.53
38, 965.,,,12.7,,,,,,,,,,,,,,,9.53
40, 1016,,,12.7,,,,,,,,,,,,,,,9.53
42, 1067,,,12.7,,,,,,,,,,,,,,,9.53
44, 1118,,,12.7,,,,,,,,,,,,,,,9.53
46, 1168,,,12.7,,,,,,,,,,,,,,,9.53
48, 1219,,,12.7,,,,,,,,,,,,,,,9.53
